layer, FSRAM required per lane (bytes), ISRAM required per lane (bytes),,,,,,,,,,,,,,,,,,,,,,,,
Conv1,363,22473,,,,,,,,,,,,,,,,,,,,,,,,
Conv2,2400,52800,,,,,,,,,,,,,,,,,,,,,,,,
Conv3,2304,20736,,,,,,,,,,,,,,,,,,,,,,,,
Conv4,3456,14976,,,,,,,,,,,,,,,,,,,,,,,,
Conv5,3456,14976,,,,,,,,,,,,,,,,,,,,,,,,
max,3456,52800,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
layer,round,phase,run cycles,filter stalls,IF stalls,MACops,ISRAM read (bytes),FSRAM read (bytes),ISRAM write (bytes),FSRAM write (bytes),DRAM read (bytes), DRAM write (bytes),h lanes, v lanes, isram read energy(pJ), fsram read energy (pJ), isram write energy(pJ), fsram write energy (pJ), dram read energy (pJ), dram write energy (pJ), mac op energy (pJ), energy (pJ), start cycle offset,ISRAM write preload (bytes), ISRAM write preload energy (pJ),
Conv1,0,81,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,29403,33792,244549.3248,
Conv1,0,82,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,29766,33792,244549.3248,
Conv1,0,83,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,30129,33792,244549.3248,
Conv1,0,84,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,30492,33792,244549.3248,
Conv1,0,85,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,30855,33792,244549.3248,
Conv1,0,86,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,31218,33792,244549.3248,
Conv1,0,87,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,31581,33792,244549.3248,
Conv1,0,88,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,31944,33792,244549.3248,
Conv1,0,89,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,32307,33792,244549.3248,
Conv1,0,90,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,32670,33792,244549.3248,
Conv1,0,91,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,33033,33792,244549.3248,
Conv1,0,92,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,33396,33792,244549.3248,
Conv1,0,93,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,33759,33792,244549.3248,
Conv1,0,94,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,34122,33792,244549.3248,
Conv1,0,95,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,34485,33792,244549.3248,
